epoch,accuracy,loss,val_accuracy,val_loss
0,0.17564518749713898,5.337540149688721,0.2448192536830902,4.872598171234131
1,0.24445804953575134,4.862565517425537,0.27629056572914124,4.696625232696533
2,0.2707802951335907,4.717165470123291,0.29160985350608826,4.610589981079102
3,0.27936914563179016,4.6674275398254395,0.30109259486198425,4.559418201446533
4,0.2904583215713501,4.603341102600098,0.3088579475879669,4.512823581695557
5,0.29537832736968994,4.574573993682861,0.3122817575931549,4.491744041442871
6,0.29581448435783386,4.571054458618164,0.31123948097229004,4.5006103515625
7,0.2989462614059448,4.552366256713867,0.3150384724140167,4.475794792175293
8,0.30282062292099,4.529151916503906,0.31832969188690186,4.457345962524414
9,0.30561959743499756,4.5125932693481445,0.3208075761795044,4.441401958465576
10,0.30755674839019775,4.501152992248535,0.32240667939186096,4.4298319816589355
11,0.30870771408081055,4.49439811706543,0.32361629605293274,4.422677516937256
